UserPrincipalName,NumberOfItems,MailboxSize,IssueWarningQuota,ProhibitSendQuota,ProhibitSendReceiveQuota
"aspensupport@eccouncil.org","1147458","58,969.42","100,352.00","101,376.00","102,400.00"
"aspencert@eccouncil.org","792617","48,924.86","100,352.00","101,376.00","102,400.00"
"audit@eccouncil.org","68628","13,785.06","100,352.00","101,376.00","102,400.00"
"certdirector@eccouncil.org","105100","39,607.50","100,352.00","101,376.00","102,400.00"
"cehapp@eccouncil.org","104216","37,121.49","100,352.00","101,376.00","102,400.00"
"certmanager@eccouncil.org","158161","57,249.52","100,352.00","101,376.00","102,400.00"
"certsupport@eccouncil.org","164114","22,243.13","100,352.00","101,376.00","102,400.00"
"ccisoapp@eccouncil.org","68700","23,751.87","100,352.00","101,376.00","102,400.00"
"delta@eccouncil.org","234262","34,474.26","100,352.00","101,376.00","102,400.00"
"ordersupport@eccouncil.org","139720","35,306.58","100,352.00","101,376.00","102,400.00"
"cnda@eccouncil.org","50256","29,709.40","100,352.00","101,376.00","102,400.00"
"mycontributions@eccouncil.org","17237","2,652.39","100,352.00","101,376.00","102,400.00"
"practicals@eccouncil.org","20927","1,380.53","100,352.00","101,376.00","102,400.00"
"feedback@eccouncil.org","51739","13,147.05","100,352.00","101,376.00","102,400.00"
"secure@eccouncil.org","25379","1,905.17","100,352.00","101,376.00","102,400.00"
"lpt@eccouncil.org","67070","10,343.86","100,352.00","101,376.00","102,400.00"
"leadsupport@eccouncil.org","26996","916.54","100,352.00","101,376.00","102,400.00"
"membersupport@eccouncil.org","217143","18,956.51","100,352.00","101,376.00","102,400.00"
"techsupport@eccouncil.org","96140","18,121.56","100,352.00","101,376.00","102,400.00"
"ecsaexam@eccouncil.org","70523","14,135.04","100,352.00","101,376.00","102,400.00"
"cciso@eccouncil.org","49845","17,982.81","100,352.00","101,376.00","102,400.00"
"customerservice@eccouncil.org","70359","8,109.18","100,352.00","101,376.00","102,400.00"
"partnersupport@eccouncil.org","26061","8,252.09","100,352.00","101,376.00","102,400.00"
"academia@eccouncil.org","75196","8,963.75","100,352.00","101,376.00","102,400.00"
"info@examspecialists.com","11874","1,643.54","100,352.00","101,376.00","102,400.00"
"support@examspecialists.com","15533","680.81","100,352.00","101,376.00","102,400.00"
"proctor@examspecialists.com","1536","35.01","100,352.00","101,376.00","102,400.00"
"cyberq@eccouncil.org","1950","189.39","100,352.00","101,376.00","102,400.00"
"cei@eccouncil.org","242908","33,107.68","100,352.00","101,376.00","102,400.00"
"info@eccouncil.org","12494","865.80","100,352.00","101,376.00","102,400.00"
"masterclass.operations@eccouncil.org","372","10.50","50,176.00","50,688.00","51,200.00"
"tampaboardroom@eccouncil.org","182","1.81","50,176.00","50,688.00","51,200.00"
"abq-riogrande@eccouncil.org","196","1.98","50,176.00","50,688.00","51,200.00"
"abq-directorsconference@eccouncil.org","193","2.01","50,176.00","50,688.00","51,200.00"
